127.0.0.1 - - [05/May/2022:19:54:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/May/2022:19:54:21 +0900] "GET /community/ HTTP/1.1" 200 4217
0:0:0:0:0:0:0:1 - - [05/May/2022:19:54:21 +0900] "GET /community/resources/css/main-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:19:54:21 +0900] "GET /community/resources/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:19:54:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/May/2022:19:54:26 +0900] "POST /community/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:19:54:26 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:19:54:26 +0900] "GET /community/ HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [05/May/2022:19:54:26 +0900] "GET /community/resources/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:19:54:28 +0900] "GET /community/member/myPage/info HTTP/1.1" 200 4057
0:0:0:0:0:0:0:1 - - [05/May/2022:19:54:28 +0900] "GET /community/resources/css/myPage-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2022:20:01:57 +0900] "GET /community/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:20:01:57 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:20:01:57 +0900] "GET /community/ HTTP/1.1" 200 4217
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:06 +0900] "POST /community/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:06 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:06 +0900] "GET /community/ HTTP/1.1" 200 4560
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:11 +0900] "POST /community/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:11 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:11 +0900] "GET /community/ HTTP/1.1" 200 4560
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:20 +0900] "POST /community/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:20 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:20 +0900] "GET /community/ HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:22 +0900] "GET /community/member/myPage/info HTTP/1.1" 200 4029
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:48 +0900] "POST /community/member/myPage/info HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:48 +0900] "GET /community/member/myPage/info HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:50 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2022:20:02:50 +0900] "GET /community/ HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [05/May/2022:20:03:35 +0900] "GET /community/member/myPage/info HTTP/1.1" 200 4075
